Sp.;Size;Number;Type;Morfology;Sample;Label_wet;Area_wet;StdDev_wet;X_wet;Y_wet;XM_wet;YM_wet;Perim._wet;BX_wet;BY_wet;Width_wet;Height_wet;Major_wet;Minor_wet;Angle_wet;Circ._wet;AR_wet;Round_wet;Solidity_wet;Feret_wet;FeretAngle_wet;MinFeret_wet;FeretX_wet;FeretY_wet;IntDen_wet;RawIntDen_wet;Median_wet;Skew_wet;Kurt_wet;%Area_wet;Slice_wet;Label_dry;Area_dry;StdDev_dry;X_dry;Y_dry;XM_dry;YM_dry;Perim._dry;BX_dry;BY_dry;Width_dry;Height_dry;Major_dry;Minor_dry;Angle_dry;Circ._dry;AR_dry;Round_dry;Solidity_dry;Feret_dry;FeretAngle_dry;MinFeret_dry;FeretX_dry;FeretY_dry;IntDen_dry;RawIntDen_dry;Median_dry;Skew_dry;Kurt_dry;%Area_dry;Slice_dry;Index of viability;Number shoots;Index1;Index2;Index of contamination
D. scoparium;Small;20;L;F. Intermedio;D. scoparium Small;DIPH (20).jpg;3,51E-03;2,73E+01;8,55E-02;1,01E-01;8,82E-02;1,00E-01;3,10E-01;3,87E-02;7,08E-02;1,02E-01;8,49E-02;1,05E-01;4,25E-02;2,83E+01;4,59E-01;2,47E+00;4,05E-01;7,95E-01;1,20E-01;3,18E+01;4,87E-02;4,10E+01;1,56E+02;4,44E-01;4,99E+05;1,32E+02;-4,69E-01;-1,36E-01;0,00E+00;1,00E+00;DIPS (20).jpg;1,19E-03;1,93E+01;1,32E-01;1,36E-01;1,32E-01;1,36E-01;1,82E-01;9,28E-02;1,22E-01;7,76E-02;2,46E-02;7,90E-02;1,92E-02;6,92E+00;4,51E-01;4,12E+00;2,43E-01;8,65E-01;7,76E-02;0,00E+00;2,16E-02;9,80E+01;1,47E+02;1,32E-01;1,47E+05;1,09E+02;1,58E-01;1,06E+00;0,00E+00;1,00E+00;6;0;5,75;5,75;1
D. scoparium;Small;21;L;F. Intermedio;D. scoparium Small;DIPH (21).jpg;1,90E-03;2,49E+01;1,02E-01;1,11E-01;1,04E-01;1,12E-01;2,13E-01;6,23E-02;9,62E-02;7,74E-02;3,30E-02;7,74E-02;3,12E-02;1,75E+02;5,26E-01;2,48E+00;4,03E-01;8,35E-01;8,09E-02;1,70E+01;3,30E-02;6,60E+01;1,31E+02;2,22E-01;2,49E+05;1,11E+02;1,10E+00;1,59E+00;0,00E+00;1,00E+00;DIPS (21).jpg;1,80E-03;2,47E+01;1,16E-01;1,40E-01;1,16E-01;1,40E-01;1,84E-01;8,33E-02;1,11E-01;6,25E-02;6,06E-02;7,53E-02;3,04E-02;1,35E+02;6,64E-01;2,48E+00;4,04E-01;9,48E-01;7,31E-02;1,39E+02;2,98E-02;9,30E+01;1,22E+02;1,97E-01;2,20E+05;1,08E+02;2,71E-01;2,42E-01;0,00E+00;1,00E+00;6;0;5,75;7,25;1
D. scoparium;Small;22;L;F. Apical;D. scoparium Small;DIPH (22).jpg;4,52E-03;2,82E+01;1,55E-01;1,10E-01;1,51E-01;1,11E-01;3,55E-01;6,30E-02;8,31E-02;1,60E-01;4,66E-02;1,59E-01;3,62E-02;6,92E+00;4,51E-01;4,40E+00;2,27E-01;9,40E-01;1,62E-01;1,01E+01;4,02E-02;6,90E+01;1,32E+02;5,75E-01;6,89E+05;1,22E+02;9,52E-01;1,16E+00;0,00E+00;1,00E+00;DIPS (22).jpg;3,03E-03;3,64E+01;1,86E-01;1,32E-01;1,80E-01;1,29E-01;3,66E-01;1,23E-01;8,90E-02;1,34E-01;1,01E-01;1,59E-01;2,43E-02;1,46E+02;2,83E-01;6,52E+00;1,53E-01;8,04E-01;1,64E-01;1,43E+02;3,51E-02;1,34E+02;9,70E+01;3,78E-01;4,21E+05;1,19E+02;2,90E-01;-1,11E+00;0,00E+00;1,00E+00;6;0;5,75;5,75;1
D. scoparium;Small;23;S;F. Apical;D. scoparium Small;DIPH (23).jpg;9,84E-03;5,51E+01;2,15E-01;2,03E-01;2,05E-01;2,01E-01;8,54E-01;6,34E-02;1,60E-01;3,68E-01;1,07E-01;2,77E-01;4,52E-02;1,16E+01;1,70E-01;6,13E+00;1,63E-01;5,01E-01;3,71E-01;6,36E+00;7,18E-02;6,80E+01;2,66E+02;1,15E+00;1,33E+06;1,11E+02;1,83E-01;-1,02E+00;0,00E+00;1,00E+00;DIPS (23).jpg;7,01E-03;3,07E+01;2,47E-01;1,97E-01;2,57E-01;1,96E-01;8,41E-01;7,57E-02;1,34E-01;3,66E-01;9,47E-02;2,42E-01;3,69E-02;9,14E+00;1,25E-01;6,54E+00;1,53E-01;4,16E-01;3,72E-01;9,82E+00;6,19E-02;8,00E+01;2,11E+02;9,34E-01;1,04E+06;1,39E+02;-4,40E-01;-2,04E-01;0,00E+00;1,00E+00;6;0;7,25;7,25;1
D. scoparium;Small;24;L;F. Intermedio;D. scoparium Small;DIPH (24).jpg;6,41E-03;2,89E+01;1,40E-01;1,36E-01;1,44E-01;1,37E-01;4,12E-01;6,23E-02;8,75E-02;1,57E-01;1,06E-01;1,73E-01;4,71E-02;1,50E+02;4,76E-01;3,68E+00;2,72E-01;9,21E-01;1,76E-01;1,49E+02;4,83E-02;7,60E+01;9,70E+01;7,53E-01;9,25E+05;1,09E+02;1,45E+00;2,27E+00;0,00E+00;1,00E+00;DIPS (24).jpg;4,98E-03;2,66E+01;1,78E-01;1,79E-01;1,77E-01;1,79E-01;4,19E-01;1,38E-01;8,81E-02;7,57E-02;1,59E-01;1,47E-01;4,31E-02;7,41E+01;3,57E-01;3,41E+00;2,94E-01;7,13E-01;1,63E-01;7,79E+01;6,04E-02;1,73E+02;2,61E+02;6,60E-01;7,37E+05;1,30E+02;2,20E-02;8,43E-01;0,00E+00;1,00E+00;6;0;5,5;5,5;2
D. scoparium;Small;25;L;F. Intermedio;D. scoparium Small;DIPH (25).jpg;6,27E-03;2,76E+01;1,56E-01;7,83E-02;1,58E-01;7,90E-02;4,79E-01;4,79E-02;5,53E-02;2,22E-01;5,07E-02;2,06E-01;3,87E-02;1,73E+02;3,44E-01;5,33E+00;1,88E-01;9,03E-01;2,22E-01;1,77E+02;4,38E-02;5,20E+01;7,60E+01;7,87E-01;9,26E+05;1,23E+02;5,18E-01;2,61E+00;0,00E+00;1,00E+00;DIPS (25).jpg;4,37E-03;3,25E+01;2,03E-01;1,68E-01;2,05E-01;1,67E-01;4,70E-01;9,47E-02;1,15E-01;2,06E-01;9,94E-02;2,11E-01;2,64E-02;2,13E+01;2,49E-01;7,98E+00;1,25E-01;7,67E-01;2,25E-01;2,36E+01;3,37E-02;1,00E+02;2,26E+02;7,88E-01;8,79E+05;1,85E+02;-9,97E-01;1,44E+00;0,00E+00;1,00E+00;6;0;5,75;5,75;1
D. scoparium;Small;26;L;F. Intermedio;D. scoparium Small;DIPH (26).jpg;3,82E-03;2,21E+01;1,10E-01;1,41E-01;1,10E-01;1,40E-01;3,48E-01;8,66E-02;7,11E-02;4,83E-02;1,49E-01;1,61E-01;3,02E-02;9,93E+01;3,96E-01;5,33E+00;1,88E-01;8,42E-01;1,52E-01;1,02E+02;3,56E-02;9,90E+01;7,80E+01;4,34E-01;5,22E+05;1,13E+02;2,59E-01;4,12E+00;0,00E+00;1,00E+00;DIPS (26).jpg;2,52E-03;3,76E+01;1,48E-01;1,22E-01;1,46E-01;1,19E-01;3,48E-01;8,90E-02;6,15E-02;1,09E-01;1,27E-01;1,47E-01;2,17E-02;1,32E+02;2,61E-01;6,78E+00;1,47E-01;6,34E-01;1,51E-01;1,34E+02;3,26E-02;9,40E+01;7,00E+01;3,75E-01;4,18E+05;1,50E+02;-5,01E-01;6,60E-01;0,00E+00;1,00E+00;3;0;2,5;2,5;2
D. scoparium;Small;27;L;F. Intermedio;D. scoparium Small;DIPH (27).jpg;4,35E-03;2,26E+01;1,24E-01;1,27E-01;1,22E-01;1,27E-01;2,93E-01;6,66E-02;9,21E-02;1,09E-01;6,38E-02;9,76E-02;5,67E-02;1,78E+02;6,36E-01;1,72E+00;5,82E-01;8,80E-01;1,09E-01;1,73E+02;6,29E-02;7,30E+01;1,32E+02;5,76E-01;6,92E+05;1,25E+02;1,28E+00;2,06E+00;0,00E+00;1,00E+00;DIPS (27).jpg;2,42E-03;3,31E+01;1,26E-01;1,57E-01;1,22E-01;1,56E-01;3,04E-01;7,10E-02;1,36E-01;1,03E-01;4,07E-02;8,90E-02;3,47E-02;1,71E+02;3,30E-01;2,57E+00;3,90E-01;8,77E-01;1,05E-01;1,70E+02;3,61E-02;7,50E+01;1,61E+02;3,04E-01;3,39E+05;1,23E+02;2,12E-01;-1,02E+00;0,00E+00;1,00E+00;6;0;5,5;5,5;2
D. scoparium;Small;28;L;F. Intermedio;D. scoparium Small;DIPH (28).jpg;2,11E-03;3,52E+01;1,74E-01;1,45E-01;1,78E-01;1,44E-01;2,17E-01;1,28E-01;1,19E-01;8,84E-02;4,92E-02;9,50E-02;2,82E-02;2,00E+01;5,64E-01;3,37E+00;2,97E-01;9,96E-01;9,12E-02;2,17E+01;2,89E-02;1,41E+02;1,82E+02;2,85E-01;3,44E+05;1,24E+02;7,61E-01;-1,75E-01;0,00E+00;1,00E+00;DIPS (28).jpg;1,72E-03;2,13E+01;1,24E-01;9,59E-02;1,24E-01;9,61E-02;2,21E-01;7,48E-02;7,67E-02;9,75E-02;3,50E-02;1,01E-01;2,17E-02;1,10E+01;4,45E-01;4,66E+00;2,15E-01;8,97E-01;9,81E-02;6,10E+00;2,21E-02;7,90E+01;1,05E+02;2,10E-01;2,35E+05;1,25E+02;-6,69E-01;1,30E+00;0,00E+00;1,00E+00;6;0;5,5;7;2
D. scoparium;Small;29;L;F. Intermedio;D. scoparium Small;DIPH (29).jpg;1,59E-03;1,52E+01;1,51E-01;2,32E-01;1,51E-01;2,32E-01;2,19E-01;1,36E-01;1,77E-01;2,55E-02;9,94E-02;9,46E-02;2,14E-02;8,26E+01;4,18E-01;4,42E+00;2,26E-01;8,82E-01;1,00E-01;8,22E+01;2,42E-02;1,57E+02;3,03E+02;1,78E-01;2,14E+05;1,13E+02;1,90E+00;7,88E+00;0,00E+00;1,00E+00;DIPS (29).jpg;1,27E-03;3,02E+01;1,08E-01;9,88E-02;1,10E-01;1,00E-01;2,06E-01;6,15E-02;8,24E-02;8,52E-02;3,50E-02;8,59E-02;1,89E-02;1,63E+02;3,76E-01;4,55E+00;2,20E-01;9,06E-01;9,04E-02;1,60E+02;2,18E-02;6,50E+01;9,20E+01;1,90E-01;2,11E+05;1,55E+02;-8,95E-01;5,50E-01;0,00E+00;1,00E+00;1;0;0,5;0,5;2
D. scoparium;Small;30;L;F. Intermedio;D. scoparium Small;DIPH (30).jpg;1,76E-03;2,66E+01;1,84E-01;1,58E-01;1,83E-01;1,58E-01;2,14E-01;1,67E-01;1,17E-01;3,74E-02;8,41E-02;9,10E-02;2,46E-02;8,08E+01;4,83E-01;3,70E+00;2,71E-01;8,26E-01;8,45E-02;7,20E+01;2,78E-02;1,82E+02;2,11E+02;2,17E-01;2,48E+05;1,21E+02;6,13E-01;2,56E+00;0,00E+00;1,00E+00;DIPS (30).jpg;1,52E-03;2,85E+01;8,94E-02;8,23E-02;9,01E-02;8,25E-02;1,99E-01;4,92E-02;6,82E-02;8,43E-02;2,56E-02;8,88E-02;2,18E-02;3,75E+00;4,82E-01;4,08E+00;2,45E-01;8,60E-01;8,49E-02;7,05E+00;2,42E-02;5,20E+01;9,10E+01;2,45E-01;2,73E+05;1,66E+02;-1,17E+00;1,48E+00;0,00E+00;1,00E+00;1;0;0,25;0,25;3
H. aureum;Large;1;S;F. Intermedio;H. aureum Large;HOGH1.jpg;2,24E-02;3,01E+01;2,01E-01;1,42E-01;1,98E-01;1,38E-01;1,49E+00;2,16E-02;7,47E-02;3,33E-01;1,55E-01;2,91E-01;9,80E-02;1,79E+02;1,26E-01;2,97E+00;3,37E-01;6,50E-01;3,33E-01;2,70E+00;1,48E-01;2,20E+01;1,61E+02;1,88E+00;1,95E+06;7,70E+01;1,64E+00;4,02E+00;0,00E+00;1,00E+00;HOGS1.jpg;1,06E-02;2,66E+01;1,59E-01;1,53E-01;1,57E-01;1,54E-01;1,14E+00;4,76E-02;7,24E-02;2,38E-01;1,35E-01;1,71E-01;7,86E-02;1,77E+02;1,02E-01;2,18E+00;4,59E-01;4,52E-01;2,41E-01;8,76E+00;1,31E-01;4,80E+01;1,50E+02;1,27E+00;1,29E+06;1,20E+02;1,20E-01;2,96E-01;0,00E+00;1,00E+00;6;16;8,25;8,25;1
H. aureum;Large;2;S;F. Apical;H. aureum Large;HOGH2.jpeg;2,22E-02;2,64E+01;2,10E-01;1,29E-01;2,07E-01;1,26E-01;1,48E+00;2,42E-02;3,83E-02;3,29E-01;1,63E-01;2,79E-01;1,01E-01;1,63E+02;1,28E-01;2,76E+00;3,62E-01;7,17E-01;3,38E-01;1,66E+02;1,38E-01;1,20E+01;4,30E+01;2,21E+00;5,44E+05;9,40E+01;1,06E+00;9,93E-01;0,00E+00;1,00E+00;HOGS2.jpeg;1,26E-02;2,91E+01;1,86E-01;2,43E-01;1,85E-01;2,41E-01;7,13E-01;4,38E-02;1,73E-01;3,13E-01;1,50E-01;3,16E-01;5,07E-02;2,66E+01;3,11E-01;6,25E+00;1,60E-01;8,80E-01;3,42E-01;2,45E+01;5,85E-02;2,20E+01;1,53E+02;1,50E+00;3,43E+05;1,15E+02;5,93E-01;-3,67E-01;0,00E+00;1,00E+00;6;14;8;8;2
H. aureum;Large;3;S;F. Apical;H. aureum Large;HOGH3.jpg;2,80E-02;1,68E+01;2,04E-01;1,92E-01;1,97E-01;1,91E-01;1,72E+00;6,68E-02;5,40E-02;2,73E-01;2,61E-01;2,66E-01;1,34E-01;1,41E+02;1,19E-01;1,99E+00;5,02E-01;6,90E-01;2,96E-01;1,45E+02;1,86E-01;9,00E+01;7,60E+01;1,84E+00;1,91E+06;6,30E+01;9,63E-01;1,97E+00;0,00E+00;1,00E+00;HOGS3.jpg;1,51E-02;3,15E+01;2,89E-01;1,50E-01;2,78E-01;1,49E-01;1,04E+00;1,27E-01;1,00E-01;2,97E-01;9,43E-02;2,56E-01;7,50E-02;1,77E+02;1,76E-01;3,42E+00;2,93E-01;8,31E-01;2,97E-01;1,77E+02;8,90E-02;1,28E+02;1,68E+02;1,66E+00;1,69E+06;1,06E+02;4,92E-01;9,14E-05;0,00E+00;1,00E+00;6;23;8,25;8,25;1
H. aureum;Large;4;S;F. Apical;H. aureum Large;HOGH4.jpg;7,75E-02;3,17E+01;3,46E-01;2,28E-01;3,49E-01;2,28E-01;2,93E+00;3,12E-02;8,25E-02;6,14E-01;3,05E-01;5,86E-01;1,68E-01;1,65E+02;1,14E-01;3,48E+00;2,88E-01;6,96E-01;6,16E-01;1,75E+02;2,22E-01;3,10E+01;2,31E+02;5,69E+00;5,62E+06;6,70E+01;1,79E+00;5,60E+00;0,00E+00;1,00E+00;HOGS4.jpg;3,31E-02;3,81E+01;2,59E-01;2,02E-01;2,53E-01;1,95E-01;1,78E+00;6,08E-02;1,07E-01;4,05E-01;2,63E-01;3,11E-01;1,35E-01;1,68E+02;1,31E-01;2,30E+00;4,35E-01;4,50E-01;4,13E-01;1,67E+02;2,32E-01;6,50E+01;2,23E+02;5,13E+00;5,34E+06;1,60E+02;-4,93E-01;-1,30E-01;0,00E+00;1,00E+00;6;1R;9,75;9,75;1
H. aureum;Large;5;S;F. Apical;H. aureum Large;HOGH5.jpg;2,28E-02;1,73E+01;2,35E-01;1,82E-01;2,29E-01;1,79E-01;1,30E+00;8,78E-02;7,96E-02;2,65E-01;1,87E-01;2,37E-01;1,23E-01;1,66E+02;1,69E-01;1,93E+00;5,18E-01;7,47E-01;2,74E-01;1,62E+02;1,58E-01;8,50E+01;1,70E+02;1,47E+00;1,38E+06;6,20E+01;9,21E-01;1,47E+00;0,00E+00;1,00E+00;HOGS5.jpg;1,31E-02;4,11E+01;1,95E-01;1,52E-01;1,77E-01;1,40E-01;9,61E-01;4,61E-02;8,43E-02;2,59E-01;1,71E-01;2,55E-01;6,53E-02;1,48E+02;1,78E-01;3,91E+00;2,56E-01;6,78E-01;2,97E-01;1,48E+02;9,73E-02;5,00E+01;8,70E+01;1,38E+00;1,44E+06;8,90E+01;1,05E+00;2,72E-01;0,00E+00;1,00E+00;6;16;8,25;8,25;1
H. aureum;Large;6;S;F. Intermedio;H. aureum Large;HOGH6.jpg;2,35E-02;4,41E+01;2,52E-01;2,01E-01;2,35E-01;2,05E-01;2,04E+00;1,01E-01;1,34E-01;3,16E-01;1,52E-01;2,90E-01;1,03E-01;1,83E+01;7,07E-02;2,80E+00;3,57E-01;6,85E-01;3,29E-01;1,59E+01;1,40E-01;9,90E+01;2,60E+02;2,53E+00;2,43E+06;1,03E+02;6,01E-01;-1,83E-01;0,00E+00;1,00E+00;HOGS6.jpg;1,46E-02;3,81E+01;2,08E-01;2,78E-01;2,09E-01;2,78E-01;9,88E-01;5,99E-02;2,22E-01;3,14E-01;9,92E-02;2,79E-01;6,63E-02;1,79E+02;1,87E-01;4,21E+00;2,37E-01;6,67E-01;3,14E-01;1,79E+02;8,32E-02;5,80E+01;2,32E+02;2,01E+00;1,88E+06;1,38E+02;-6,35E-02;-3,18E-01;0,00E+00;1,00E+00;6;14;8,25;8,25;1
H. aureum;Large;7;S;F. Apical;H. aureum Large;HOGH7.jpg;2,67E-02;4,03E+01;2,36E-01;1,36E-01;2,15E-01;1,37E-01;1,66E+00;5,63E-02;5,84E-02;3,32E-01;1,64E-01;3,02E-01;1,13E-01;1,16E+01;1,22E-01;2,68E+00;3,73E-01;6,73E-01;3,39E-01;1,35E+01;1,53E-01;5,60E+01;2,06E+02;2,65E+00;2,62E+06;9,30E+01;8,06E-01;3,48E-01;0,00E+00;1,00E+00;HOGS7.jpg;1,78E-02;4,12E+01;1,92E-01;2,10E-01;1,76E-01;1,96E-01;1,23E+00;7,65E-02;6,94E-02;2,54E-01;2,27E-01;2,58E-01;8,75E-02;1,44E+02;1,48E-01;2,95E+00;3,39E-01;5,60E-01;3,07E-01;1,41E+02;1,36E-01;7,80E+01;6,80E+01;1,93E+00;1,86E+06;1,01E+02;7,09E-01;-6,25E-02;0,00E+00;1,00E+00;6;17;8;8;2
H. aureum;Large;8;S;F. Apical;H. aureum Large;HOGH8.jpg;2,41E-02;2,29E+01;2,33E-01;1,62E-01;2,28E-01;1,61E-01;1,88E+00;8,54E-02;6,95E-02;3,00E-01;1,65E-01;2,67E-01;1,15E-01;1,79E+02;8,59E-02;2,33E+00;4,29E-01;6,75E-01;3,01E-01;1,77E+02;1,60E-01;8,60E+01;1,80E+02;1,93E+00;1,96E+06;7,80E+01;6,66E-01;5,24E-01;0,00E+00;1,00E+00;HOGS8.jpg;1,34E-02;3,67E+01;2,17E-01;1,37E-01;2,21E-01;1,35E-01;8,55E-01;5,86E-02;1,03E-01;3,08E-01;7,65E-02;2,92E-01;5,83E-02;1,76E+02;2,30E-01;5,01E+00;2,00E-01;8,21E-01;3,10E-01;1,74E+02;6,73E-02;5,90E+01;1,38E+02;1,64E+00;1,66E+06;1,21E+02;2,08E-01;-3,26E-01;0,00E+00;1,00E+00;6;23;8;8;2
H. aureum;Large;9;S;F. Apical;H. aureum Large;HOGH9.jpg;1,46E-02;3,76E+01;2,51E-01;2,01E-01;2,32E-01;2,04E-01;1,20E+00;1,02E-01;1,42E-01;2,93E-01;1,03E-01;2,67E-01;6,93E-02;8,25E+00;1,27E-01;3,86E+00;2,59E-01;6,89E-01;2,98E-01;1,21E+01;9,74E-02;1,05E+02;2,38E+02;1,45E+00;1,46E+06;8,70E+01;1,35E+00;1,50E+00;0,00E+00;1,00E+00;HOGS9.jpg;1,04E-02;3,87E+01;1,96E-01;1,52E-01;1,90E-01;1,45E-01;8,86E-01;5,99E-02;8,99E-02;2,49E-01;1,67E-01;2,45E-01;5,44E-02;1,49E+02;1,67E-01;4,50E+00;2,22E-01;6,03E-01;2,88E-01;1,50E+02;7,59E-02;5,90E+01;1,04E+02;1,30E+00;1,22E+06;1,23E+02;2,49E-01;-5,07E-01;0,00E+00;1,00E+00;6;13;8,25;8,25;1
H. aureum;Large;10;S;F. Intermedio;H. aureum Large;HOGH10.jpg;4,39E-02;2,33E+01;2,43E-01;1,65E-01;2,20E-01;1,65E-01;1,69E+00;3,92E-02;6,57E-02;3,99E-01;1,89E-01;3,77E-01;1,48E-01;1,76E+02;1,93E-01;2,55E+00;3,93E-01;7,69E-01;4,02E-01;1,74E+02;1,78E-01;4,00E+01;1,37E+02;2,23E+00;2,32E+06;4,60E+01;2,15E+00;9,11E+00;0,00E+00;1,00E+00;HOGS10.jpg;2,13E-02;2,75E+01;1,81E-01;2,21E-01;1,70E-01;2,14E-01;1,18E+00;5,19E-02;9,88E-02;3,00E-01;2,04E-01;3,20E-01;8,49E-02;1,50E+02;1,94E-01;3,76E+00;2,66E-01;6,91E-01;3,40E-01;1,51E+02;1,21E-01;5,40E+01;1,13E+02;2,09E+00;2,02E+06;9,90E+01;-1,84E-02;3,91E-02;0,00E+00;1,00E+00;6;16;7,75;7,75;3
H. aureum;Large;11;S;F. Apical;H. aureum Large;HOGH11.jpg;4,91E-02;1,99E+01;3,29E-01;1,75E-01;3,26E-01;1,73E-01;2,42E+00;7,57E-02;5,22E-02;5,10E-01;2,26E-01;4,78E-01;1,31E-01;1,55E+01;1,05E-01;3,66E+00;2,73E-01;6,96E-01;5,29E-01;1,53E+01;1,86E-01;7,10E+01;2,57E+02;4,19E+00;3,69E+06;8,20E+01;1,23E+00;3,74E+00;0,00E+00;1,00E+00;HOGS11.jpg;2,38E-02;3,88E+01;3,92E-01;2,33E-01;3,68E-01;2,45E-01;1,40E+00;1,54E-01;8,16E-02;3,77E-01;2,24E-01;3,17E-01;9,55E-02;2,56E+01;1,54E-01;3,32E+00;3,01E-01;5,26E-01;4,13E-01;2,89E+01;1,64E-01;1,45E+02;2,67E+02;2,57E+00;2,29E+06;1,07E+02;1,44E-01;-7,81E-01;0,00E+00;1,00E+00;6;26;7,75;7,75;3
H. aureum;Large;12;S;F. Apical;H. aureum Large;HOGH12.jpg;1,53E-02;2,95E+01;1,87E-01;1,66E-01;1,76E-01;1,67E-01;7,85E-01;8,28E-02;9,50E-02;1,97E-01;1,30E-01;1,79E-01;1,09E-01;5,71E+00;3,13E-01;1,65E+00;6,07E-01;7,65E-01;1,99E-01;3,14E+01;1,22E-01;8,00E+01;2,04E+02;1,32E+00;1,09E+06;7,80E+01;1,39E+00;1,66E+00;0,00E+00;1,00E+00;HOGS12.jpg;8,71E-03;2,83E+01;1,37E-01;1,23E-01;1,31E-01;1,18E-01;5,59E-01;5,74E-02;5,52E-02;1,60E-01;1,20E-01;1,69E-01;6,57E-02;1,47E+02;3,50E-01;2,57E+00;3,89E-01;8,34E-01;1,89E-01;1,43E+02;8,01E-02;6,00E+01;5,00E+01;9,84E-01;8,07E+05;1,09E+02;2,01E-01;-5,47E-01;0,00E+00;1,00E+00;6;9;7,75;9,25;3
H. aureum;Large;13;S;햜ice;H. aureum Large;HOGH13.jpg;1,66E-02;1,85E+01;1,75E-01;1,38E-01;1,66E-01;1,39E-01;8,65E-01;5,48E-02;5,15E-02;2,30E-01;1,57E-01;1,89E-01;1,11E-01;1,76E+02;2,78E-01;1,70E+00;5,89E-01;6,99E-01;2,30E-01;5,36E-01;1,51E-01;5,10E+01;1,37E+02;1,35E+00;1,17E+06;7,80E+01;5,13E-01;-5,56E-01;0,00E+00;1,00E+00;HOGS13.jpg;9,29E-03;2,91E+01;1,51E-01;1,54E-01;1,52E-01;1,54E-01;6,99E-01;6,41E-02;9,40E-02;1,58E-01;1,47E-01;1,77E-01;6,69E-02;1,34E+02;2,39E-01;2,64E+00;3,78E-01;7,48E-01;2,03E-01;1,37E+02;7,93E-02;6,30E+01;9,20E+01;1,26E+00;1,03E+06;1,34E+02;1,07E-01;1,44E-01;0,00E+00;1,00E+00;6;13;9,75;9,75;3
H. aureum;Large;14;S;F. Intermedio;H. aureum Large;HOGH14.jpg;1,21E-02;2,68E+01;1,32E-01;1,63E-01;1,29E-01;1,66E-01;5,51E-01;5,99E-02;8,38E-02;1,36E-01;1,61E-01;1,57E-01;9,82E-02;4,89E+01;5,00E-01;1,59E+00;6,28E-01;8,80E-01;1,74E-01;6,12E+01;1,09E-01;1,01E+02;2,25E+02;1,01E+00;8,51E+05;8,30E+01;1,07E+00;3,47E+00;0,00E+00;1,00E+00;HOGS14.jpg;7,26E-03;3,16E+01;1,50E-01;9,84E-02;1,51E-01;9,68E-02;3,97E-01;6,86E-02;6,64E-02;1,59E-01;7,08E-02;1,58E-01;5,84E-02;1,73E+02;5,78E-01;2,71E+00;3,69E-01;9,25E-01;1,60E-01;1,74E+02;6,56E-02;6,20E+01;9,10E+01;9,09E-01;7,43E+05;1,27E+02;1,21E-01;-3,51E-01;0,00E+00;1,00E+00;6;8;7,75;7,75;3
H. aureum;Large;15;S;F. Apical;H. aureum Large;HOGH15.jpg;3,41E-02;3,00E+01;2,86E-01;2,05E-01;2,57E-01;2,08E-01;1,45E+00;5,72E-02;9,75E-02;4,80E-01;2,12E-01;3,78E-01;1,15E-01;5,48E+00;2,03E-01;3,29E+00;3,04E-01;6,07E-01;4,85E-01;8,64E+00;1,85E-01;5,10E+01;2,74E+02;2,60E+00;2,07E+06;6,90E+01;2,23E+00;7,45E+00;0,00E+00;1,00E+00;HOGS15.jpg;2,16E-02;2,99E+01;2,77E-01;1,82E-01;2,68E-01;1,79E-01;1,09E+00;5,67E-02;1,22E-01;4,24E-01;1,17E-01;3,99E-01;6,90E-02;1,70E+02;2,28E-01;5,78E+00;1,73E-01;7,42E-01;4,25E-01;1,76E+02;8,40E-02;5,20E+01;1,66E+02;2,53E+00;2,13E+06;1,16E+02;1,59E-01;-2,36E-01;0,00E+00;1,00E+00;6;23;7,75;7,75;3
H. aureum;Large;16;S;F. Intermedio;H. aureum Large;HOGH16.jpg;1,21E-02;2,20E+01;1,51E-01;1,30E-01;1,47E-01;1,28E-01;5,90E-01;5,73E-02;8,38E-02;1,90E-01;9,87E-02;1,76E-01;8,74E-02;8,81E+00;4,36E-01;2,01E+00;4,97E-01;9,34E-01;1,90E-01;9,60E-01;9,22E-02;5,40E+01;1,13E+02;1,12E+00;9,93E+05;9,50E+01;1,74E-01;6,64E-01;0,00E+00;1,00E+00;HOGS16.jpg;9,82E-03;2,74E+01;1,51E-01;1,07E-01;1,47E-01;1,09E-01;4,56E-01;5,66E-02;5,12E-02;1,69E-01;1,01E-01;1,70E-01;7,38E-02;2,25E+01;5,93E-01;2,30E+00;4,35E-01;9,24E-01;1,80E-01;2,05E+01;8,58E-02;5,20E+01;1,28E+02;1,02E+00;8,56E+05;1,01E+02;4,16E-01;-2,98E-01;0,00E+00;1,00E+00;6;15;7,75;7,75;3
