Block;Block_Row;Block_Column;Sample;Shoots_established;S_axles;S_total;S_substratum;Sp.;Size;Biomass_V;Biomass_NV;Biom_total;per_BiomV;RGR
2;F5;C4;H. cupressiforme Small;0;0;124;675;H. cupressiforme;Small;0;0,0033;0,0033;0;-0,00035
2;F1;C5;P. capillare Small;6;9;119;600;P. capillare;Small;1,00E-04;0,0026;0,0027;2,5;-0,00065
2;F2;C5;P. capillare Medium;38;39;160;626;P. capillare;Medium;0,0017;0,0029;0,0046;42,5;3,00E-04
2;F3;C5;P. capillare Large;21;22;113;640;P. capillare;Large;0,0032;0,0023;0,0055;80;0,00075
2;F4;C5;H. cupressiforme Large;14;17;89;618;H. cupressiforme;Large;9,00E-04;0,0028;0,0037;22,5;-0,00015
2;F1;C1;P. capillare Small;17;23;157;600;P. capillare;Small;3,00E-04;0,0028;0,0031;7,5;-0,00045
2;F2;C1;H. aureum Large;8;12;114;653;H. aureum;Large;5,00E-04;0,0036;0,0041;12,5;5,00E-05
2;F3;C1;T. squarrosa Small;92;80;204;620;T. squarrosa;Small;5,00E-04;0,0041;0,0046;12,5;3,00E-04
2;F4;C1;S. ruralis Small;0;0;144;610;S. ruralis;Small;0;0,0034;0,0034;0;-3,00E-04
2;F5;C1;H. aureum Small;15;19;130;674;H. aureum;Small;1,00E-04;0,0028;0,0029;2,5;-0,00055
2;F1;C2;T. squarrosa Small;107;56;130;598;T. squarrosa;Small;3,00E-04;0,0028;0,0031;7,5;-0,00045
2;F2;C2;H. cupressiforme Medium;9;10;126;625;H. cupressiforme;Medium;0;0,003;0,003;0;-5,00E-04
2;F3;C2;T. squarrosa Large;41;81;179;624;T. squarrosa;Large;0,0024;0,0043;0,0067;60;0,00135
2;F4;C2;T. squarrosa Medium;78;61;189;626;T. squarrosa;Medium;5,00E-04;0,004;0,0045;12,5;0,00025
2;F5;C2;S. ruralis Small;1;1;140;661;S. ruralis;Small;0;0,0036;0,0036;0;-2,00E-04
2;F1;C3;D. scoparium Large;3;12;148;623;D. scoparium;Large;2,00E-04;0,0035;0,0037;5;-0,00015
2;F2;C3;S. ruralis Large;25;76;128;621;S. ruralis;Large;0,0013;0,0037;0,005;32,5;5,00E-04
2;F3;C3;P. capillare Large;31;56;152;609;P. capillare;Large;0,0032;0,0017;0,0049;80;0,00045
2;F4;C3;H. aureum Medium;21;34;112;612;H. aureum;Medium;9,00E-04;0,0031;0,004;22,5;0
2;F5;C3;H. aureum Large;16;50;116;623;H. aureum;Large;0,0019;0,0026;0,0045;47,5;0,00025
